"variable","especie","modelo","contraste","n_obs","diferencia","p_sin_ajuste","sig_sin_ajuste","p_dunnett","sig_dunnett"
"iWUE, B (µmol mol-1)","P. torta","N * P","N",9,7.1663,0.194,"",0.4191,""
"iWUE, B (µmol mol-1)","P. torta","N * P","P",8,3.3874,0.5466,"",0.8461,""
"iWUE, B (µmol mol-1)","P. torta","N * P","N+P",6,-7.4161,0.2283,"",0.4767,""
"iWUE, B (µmol mol-1)","C. racemosa","N + P","N",1,-13.1355,0.047,"*",0.1162,""
"iWUE, B (µmol mol-1)","C. racemosa","N + P","P",4,10.2033,0.1218,"",0.2771,""
"iWUE, B (µmol mol-1)","C. racemosa","N + P","N+P",4,-2.9321,0.6938,"",0.9329,""
"iWUE, B (µmol mol-1)","A. lojaensis","N + P","N",10,0.3566,0.9329,"",0.9973,""
"iWUE, B (µmol mol-1)","A. lojaensis","N + P","P",12,-3.6335,0.3874,"",0.6963,""
"iWUE, B (µmol mol-1)","A. lojaensis","N + P","N+P",8,-3.2769,0.5929,"",0.8792,""
"iWUE, B (µmol mol-1)","Myrcia sp. nov.","N + P","N",10,2.9541,0.3808,"",0.6891,""
"iWUE, B (µmol mol-1)","Myrcia sp. nov.","N + P","P",12,2.1802,0.5154,"",0.8222,""
"iWUE, B (µmol mol-1)","Myrcia sp. nov.","N + P","N+P",12,5.1344,0.2569,"",0.5232,""
"iWUE, B (µmol mol-1)","H. purpurascens","N + P","N",7,16.0659,0.1035,"",0.2445,""
"iWUE, B (µmol mol-1)","H. purpurascens","N + P","P",6,3.6091,0.7072,"",0.9404,""
"iWUE, B (µmol mol-1)","H. purpurascens","N + P","N+P",3,19.6749,0.2023,"",0.4314,""
"iWUE, B (µmol mol-1)","W. loxensis","N + P","N",5,-5.3289,0.2996,"",0.5805,""
"iWUE, B (µmol mol-1)","W. loxensis","N + P","P",6,-8.3486,0.1109,"",0.2584,""
"iWUE, B (µmol mol-1)","W. loxensis","N + P","N+P",2,-13.6775,0.1017,"",0.2392,""
"log LNC (mg g-1)","P. torta","N + P","N",9,-0.0049,0.8588,"",0.9873,""
"log LNC (mg g-1)","P. torta","N + P","P",8,0.0508,0.0659,"†",0.1638,""
"log LNC (mg g-1)","P. torta","N + P","N+P",6,0.0459,0.2524,"",0.5148,""
"log LNC (mg g-1)","C. racemosa","N + P","N",1,0.1812,0.0287,"*",0.0727,"†"
"log LNC (mg g-1)","C. racemosa","N + P","P",4,0.1341,0.0989,"†",0.2304,""
"log LNC (mg g-1)","C. racemosa","N + P","N+P",4,0.3153,0.0059,"**",0.0156,"*"
"log LNC (mg g-1)","A. lojaensis","N + P","N",10,0.1062,0.0174,"*",0.0471,"*"
"log LNC (mg g-1)","A. lojaensis","N + P","P",12,-0.0641,0.1387,"",0.3181,""
"log LNC (mg g-1)","A. lojaensis","N + P","N+P",8,0.0421,0.4996,"",0.8086,""
"log LNC (mg g-1)","Myrcia sp. nov.","N + P","N",10,0.1576,0,"***",0,"***"
"log LNC (mg g-1)","Myrcia sp. nov.","N + P","P",12,-0.0474,0.1257,"",0.2926,""
"log LNC (mg g-1)","Myrcia sp. nov.","N + P","N+P",12,0.1103,0.0102,"*",0.0282,"*"
"log LNC (mg g-1)","H. purpurascens","N + P","N",7,0.1396,0.0151,"*",0.0401,"*"
"log LNC (mg g-1)","H. purpurascens","N + P","P",6,0.0456,0.3905,"",0.6967,""
"log LNC (mg g-1)","H. purpurascens","N + P","N+P",3,0.1852,0.0373,"*",0.0955,"†"
"log LNC (mg g-1)","W. loxensis","N + P","N",5,0.0762,0.292,"",0.5705,""
"log LNC (mg g-1)","W. loxensis","N + P","P",6,0.0112,0.8718,"",0.9895,""
"log LNC (mg g-1)","W. loxensis","N + P","N+P",2,0.0875,0.437,"",0.7469,""
"N content, area-based (g m-2)","P. torta","N + P","N",9,0.0076,0.9375,"",0.9976,""
"N content, area-based (g m-2)","P. torta","N + P","P",8,0.1203,0.2245,"",0.4706,""
"N content, area-based (g m-2)","P. torta","N + P","N+P",6,0.1279,0.3733,"",0.6792,""
"N content, area-based (g m-2)","C. racemosa","N + P","N",1,0.0711,0.5543,"",0.848,""
"N content, area-based (g m-2)","C. racemosa","N + P","P",4,0.2347,0.0845,"†",0.1998,""
"N content, area-based (g m-2)","C. racemosa","N + P","N+P",4,0.3058,0.0659,"†",0.1592,""
"N content, area-based (g m-2)","A. lojaensis","N + P","N",10,0.352,0.0453,"*",0.1164,""
"N content, area-based (g m-2)","A. lojaensis","N + P","P",12,-0.1158,0.4955,"",0.805,""
"N content, area-based (g m-2)","A. lojaensis","N + P","N+P",8,0.2362,0.3426,"",0.6422,""
"N content, area-based (g m-2)","Myrcia sp. nov.","N + P","N",10,0.3566,0,"***",0,"***"
"N content, area-based (g m-2)","Myrcia sp. nov.","N + P","P",12,-0.0737,0.317,"",0.6093,""
"N content, area-based (g m-2)","Myrcia sp. nov.","N + P","N+P",12,0.2829,0.0063,"**",0.0177,"*"
"N content, area-based (g m-2)","H. purpurascens","N + P","N",7,0.5902,0.0021,"**",0.0058,"**"
"N content, area-based (g m-2)","H. purpurascens","N + P","P",6,-0.1179,0.4796,"",0.7886,""
"N content, area-based (g m-2)","H. purpurascens","N + P","N+P",3,0.4723,0.0836,"†",0.2016,""
"N content, area-based (g m-2)","W. loxensis","N + P","N",5,0.1393,0.2297,"",0.4759,""
"N content, area-based (g m-2)","W. loxensis","N + P","P",6,-0.039,0.726,"",0.9481,""
"N content, area-based (g m-2)","W. loxensis","N + P","N+P",2,0.1003,0.574,"",0.8645,""
"log LPC (mg g-1)","P. torta","N + P","N",9,0.0022,0.9762,"",0.9997,""
"log LPC (mg g-1)","P. torta","N + P","P",8,0.1349,0.0778,"†",0.1906,""
"log LPC (mg g-1)","P. torta","N + P","N+P",6,0.1372,0.2139,"",0.453,""
"log LPC (mg g-1)","C. racemosa","N + P","N",1,0.041,0.5872,"",0.8716,""
"log LPC (mg g-1)","C. racemosa","N + P","P",4,0.319,0.0023,"**",0.0063,"**"
"log LPC (mg g-1)","C. racemosa","N + P","N+P",4,0.36,0.0035,"**",0.0094,"**"
"log LPC (mg g-1)","A. lojaensis","N + P","N",10,0.0283,0.6873,"",0.9321,""
"log LPC (mg g-1)","A. lojaensis","N + P","P",11,0.4523,0,"***",0,"***"
"log LPC (mg g-1)","A. lojaensis","N + P","N+P",8,0.4805,0,"***",1e-04,"***"
"log LPC (mg g-1)","Myrcia sp. nov.","N * P","N",10,0.0267,0.853,"",0.9863,""
"log LPC (mg g-1)","Myrcia sp. nov.","N * P","P",12,1.3151,0,"***",0,"***"
"log LPC (mg g-1)","Myrcia sp. nov.","N * P","N+P",12,0.71,0,"***",0,"***"
"log LPC (mg g-1)","H. purpurascens","N * P","N",7,-0.0169,0.7827,"",0.9682,""
"log LPC (mg g-1)","H. purpurascens","N * P","P",5,0.6023,0,"***",0,"***"
"log LPC (mg g-1)","H. purpurascens","N * P","N+P",3,0.2451,0.0064,"**",0.0173,"*"
"log LPC (mg g-1)","W. loxensis","N * P","N",5,0.0806,0.5204,"",0.8234,""
"log LPC (mg g-1)","W. loxensis","N * P","P",6,1.0431,0,"***",0,"***"
"log LPC (mg g-1)","W. loxensis","N * P","N+P",2,0.2546,0.1375,"",0.3117,""
"P content, area-based (g m-2)","P. torta","N + P","N",9,6e-04,0.8962,"",0.9933,""
"P content, area-based (g m-2)","P. torta","N + P","P",8,0.012,0.0211,"*",0.0563,"†"
"P content, area-based (g m-2)","P. torta","N + P","N+P",6,0.0126,0.0888,"†",0.2148,""
"P content, area-based (g m-2)","C. racemosa","N + P","N",1,-0.008,0.3729,"",0.6699,""
"P content, area-based (g m-2)","C. racemosa","N + P","P",4,0.0308,0.0094,"**",0.0241,"*"
"P content, area-based (g m-2)","C. racemosa","N + P","N+P",4,0.0228,0.0654,"†",0.156,""
"P content, area-based (g m-2)","A. lojaensis","N + P","N",10,0.0141,0.5699,"",0.8635,""
"P content, area-based (g m-2)","A. lojaensis","N + P","P",11,0.1472,0,"***",0,"***"
"P content, area-based (g m-2)","A. lojaensis","N + P","N+P",8,0.1613,1e-04,"***",2e-04,"***"
"P content, area-based (g m-2)","Myrcia sp. nov.","N * P","N",10,-0.0012,0.9813,"",0.9998,""
"P content, area-based (g m-2)","Myrcia sp. nov.","N * P","P",12,0.3816,0,"***",0,"***"
"P content, area-based (g m-2)","Myrcia sp. nov.","N * P","N+P",12,0.1262,0.0137,"*",0.0375,"*"
"P content, area-based (g m-2)","H. purpurascens","N + P","N",7,-0.011,0.5204,"",0.8241,""
"P content, area-based (g m-2)","H. purpurascens","N + P","P",5,0.0554,0.0048,"**",0.0131,"*"
"P content, area-based (g m-2)","H. purpurascens","N + P","N+P",3,0.0444,0.1085,"",0.2546,""
"P content, area-based (g m-2)","W. loxensis","N * P","N",5,0.0088,0.7041,"",0.9387,""
"P content, area-based (g m-2)","W. loxensis","N * P","P",6,0.1452,0,"***",0,"***"
"P content, area-based (g m-2)","W. loxensis","N * P","N+P",2,0.0199,0.5191,"",0.8223,""
"Leaf N:P ratio (mass-based)","P. torta","N + P","N",9,-0.2902,0.871,"",0.9895,""
"Leaf N:P ratio (mass-based)","P. torta","N + P","P",8,-2.1987,0.2273,"",0.4752,""
"Leaf N:P ratio (mass-based)","P. torta","N + P","N+P",6,-2.4889,0.3465,"",0.6466,""
"Leaf N:P ratio (mass-based)","C. racemosa","N + P","N",1,2.1738,0.2388,"",0.4835,""
"Leaf N:P ratio (mass-based)","C. racemosa","N + P","P",4,-3.3093,0.1015,"",0.2326,""
"Leaf N:P ratio (mass-based)","C. racemosa","N + P","N+P",4,-1.1355,0.6077,"",0.8837,""
"Leaf N:P ratio (mass-based)","A. lojaensis","N + P","N",10,1.1839,0.0807,"†",0.1976,""
"Leaf N:P ratio (mass-based)","A. lojaensis","N + P","P",11,-6.3001,0,"***",0,"***"
"Leaf N:P ratio (mass-based)","A. lojaensis","N + P","N+P",8,-5.1162,0,"***",0,"***"
"Leaf N:P ratio (mass-based)","Myrcia sp. nov.","N * P","N",10,0.6699,0.68,"",0.9287,""
"Leaf N:P ratio (mass-based)","Myrcia sp. nov.","N * P","P",12,-16.5796,0,"***",0,"***"
"Leaf N:P ratio (mass-based)","Myrcia sp. nov.","N * P","N+P",12,-10.6888,0,"***",0,"***"
"Leaf N:P ratio (mass-based)","H. purpurascens","N + P","N",7,4.6149,9e-04,"***",0.0024,"**"
"Leaf N:P ratio (mass-based)","H. purpurascens","N + P","P",5,-5.9809,1e-04,"***",3e-04,"***"
"Leaf N:P ratio (mass-based)","H. purpurascens","N + P","N+P",3,-1.366,0.4465,"",0.7565,""
"Leaf N:P ratio (mass-based)","W. loxensis","N * P","N",5,0.2335,0.8846,"",0.9915,""
"Leaf N:P ratio (mass-based)","W. loxensis","N * P","P",6,-11.3448,0,"***",0,"***"
"Leaf N:P ratio (mass-based)","W. loxensis","N * P","N+P",2,-3.0783,0.1629,"",0.3598,""
"SLA (cm² g-1)","P. torta","N + P","N",9,-7e-04,0.9999,"",1,""
"SLA (cm² g-1)","P. torta","N + P","P",8,-0.7176,0.8622,"",0.988,""
"SLA (cm² g-1)","P. torta","N + P","N+P",6,-0.7183,0.9052,"",0.9944,""
