"species","variable","LRT_chisq","LRT_p","AIC_additive","AIC_interaction","BIC_additive","BIC_interaction","selected_model"
"P. torta","Specific leaf area (cm²/g)",0.422,0.5158,253.83,255.4,261.15,264.2,"N + P"
"P. torta","thickness (mm)",0.415,0.5196,-140.25,-138.67,-132.92,-129.87,"N + P"
"P. torta","force to punch (kN/m)",0.202,0.6528,-27.41,-25.61,-20.08,-16.82,"N + P"
"P. torta","LA",0.137,0.7116,286.87,288.73,294.2,297.52,"N + P"
"P. torta","dry matter content (mg/g)",0.869,0.3512,327.79,328.92,335.12,337.71,"N + P"
"C. racemosa","Specific leaf area (cm²/g)",2.614,0.1059,91.36,90.74,93.78,93.65,"N + P"
"C. racemosa","thickness (mm)",9.268,0.0023,-65.69,-72.96,-63.27,-70.05,"N * P"
"C. racemosa","force to punch (kN/m)",0.294,0.5874,-7.82,-6.11,-5.39,-3.2,"N + P"
"C. racemosa","LA",0.779,0.3773,86.57,87.79,88.99,90.7,"N + P"
"C. racemosa","dry matter content (mg/g)",0.306,0.5803,114.92,116.61,117.34,119.52,"N + P"
"A. lojaensis","Specific leaf area (cm²/g)",1.752,0.1856,243.13,243.38,251.82,253.81,"N + P"
"A. lojaensis","thickness (mm)",0.992,0.3192,-128.5,-127.49,-119.81,-117.06,"N + P"
"A. lojaensis","force to punch (kN/m)",0.77,0.3802,-36.09,-34.86,-27.4,-24.44,"N + P"
"A. lojaensis","LA",0.416,0.5191,305.73,307.31,314.42,317.74,"N + P"
"A. lojaensis","dry matter content (mg/g)",0.097,0.7558,405.16,407.07,413.85,417.49,"N + P"
"Myrcia sp. nov.","Specific leaf area (cm²/g)",2.033,0.1539,264.34,264.3,273.8,275.65,"N + P"
"Myrcia sp. nov.","thickness (mm)",1.262,0.2612,-210.36,-209.62,-200.9,-198.27,"N + P"
"Myrcia sp. nov.","force to punch (kN/m)",0.904,0.3416,-86.57,-85.47,-77.11,-74.12,"N + P"
"Myrcia sp. nov.","LA",0.528,0.4673,303.37,304.84,312.83,316.2,"N + P"
"Myrcia sp. nov.","dry matter content (mg/g)",1.505,0.22,463.38,463.87,472.84,475.22,"N + P"
"H. purpurascens","Specific leaf area (cm²/g)",0.204,0.6516,167.55,169.34,172.77,175.61,"N + P"
"H. purpurascens","thickness (mm)",0.266,0.6063,-71.31,-69.58,-66.09,-63.31,"N + P"
"H. purpurascens","force to punch (kN/m)",2.221,0.1361,-9.08,-9.3,-3.85,-3.03,"N + P"
"H. purpurascens","LA",0.979,0.3225,130.95,131.97,136.18,138.24,"N + P"
"H. purpurascens","dry matter content (mg/g)",0.025,0.8739,204.02,206,209.24,212.26,"N + P"
"W. loxensis","Specific leaf area (cm²/g)",0.001,0.9765,125.18,127.18,129.63,132.52,"N + P"
"W. loxensis","thickness (mm)",0.051,0.8217,-65.79,-63.84,-61.34,-58.5,"N + P"
"W. loxensis","force to punch (kN/m)",0.017,0.8948,-32.44,-30.46,-27.99,-25.12,"N + P"
"W. loxensis","LA",0.149,0.6994,20.51,22.36,24.96,27.7,"N + P"
"W. loxensis","dry matter content (mg/g)",0.627,0.4285,190.48,191.86,194.94,197.2,"N + P"
