"species","variable","LRT_chisq","LRT_p","AIC_additive","AIC_interaction","BIC_additive","BIC_interaction","selected_model"
"P. torta","LNC",0.558,0.455,113.28,114.72,120.61,123.51,"N + P"
"P. torta","logNmass",0.583,0.445,-65.35,-63.93,-58.02,-55.14,"N + P"
"P. torta","N_area",1.716,0.1902,14.23,14.51,21.56,23.31,"N + P"
"P. torta","LPC",0.943,0.3316,-24.73,-23.68,-17.41,-14.88,"N + P"
"P. torta","logPmass",0.644,0.4221,-2.73,-1.38,4.6,7.42,"N + P"
"P. torta","P_area",3.621,0.057,-176.84,-178.46,-169.51,-169.67,"N + P"
"P. torta","LCC",0.273,0.6011,192.94,194.67,199.78,202.87,"N + P"
"P. torta","logCmass",0.28,0.5968,-165.09,-163.37,-158.25,-155.16,"N + P"
"P. torta","C_area",1.903,0.1678,216.18,216.28,223.02,224.48,"N + P"
"P. torta","N:P",0.183,0.6684,200.53,202.35,207.86,211.14,"N + P"
"P. torta","C:N",0,0.9835,134.87,136.86,141.7,145.07,"N + P"
"C. racemosa","LNC",0.291,0.5898,59.22,60.93,61.65,63.84,"N + P"
"C. racemosa","logNmass",0.1,0.7517,-11.2,-9.3,-8.77,-6.39,"N + P"
"C. racemosa","N_area",1.178,0.2777,0.99,1.81,3.41,4.72,"N + P"
"C. racemosa","LPC",1.538,0.2149,-7.46,-7,-5.03,-4.09,"N + P"
"C. racemosa","logPmass",2.439,0.1183,-10.14,-10.58,-7.72,-7.67,"N + P"
"C. racemosa","P_area",0.243,0.6218,-59.45,-57.69,-57.02,-54.78,"N + P"
"C. racemosa","LCC",4.151,0.0416,106.08,103.93,108.5,106.84,"N * P"
"C. racemosa","logCmass",4.101,0.0429,-39.41,-41.52,-36.99,-38.61,"N * P"
"C. racemosa","C_area",2.915,0.0877,67.9,66.98,70.32,69.89,"N + P"
"C. racemosa","N:P",2.166,0.1411,66.82,66.66,69.25,69.57,"N + P"
"C. racemosa","C:N",0.532,0.4656,62.96,64.43,65.38,67.34,"N + P"
"A. lojaensis","LNC",0.354,0.5519,164.77,166.42,173.46,176.84,"N + P"
"A. lojaensis","logNmass",0.236,0.6268,-40.92,-39.16,-32.24,-28.74,"N + P"
"A. lojaensis","N_area",0.034,0.8535,75.57,77.53,84.25,87.96,"N + P"
"A. lojaensis","LPC",0.506,0.4767,4.12,5.61,12.69,15.89,"N + P"
"A. lojaensis","logPmass",0.463,0.4961,2.89,4.43,11.46,14.71,"N + P"
"A. lojaensis","P_area",1,0.3173,-85.22,-84.22,-76.65,-73.94,"N + P"
"A. lojaensis","LCC",1.237,0.2661,294,294.77,302.45,304.9,"N + P"
"A. lojaensis","logCmass",1.203,0.2728,-201,-200.2,-192.56,-190.07,"N + P"
"A. lojaensis","C_area",1.644,0.1998,345.66,346.02,354.1,356.15,"N + P"
"A. lojaensis","N:P",2.584,0.1079,188.62,188.03,197.18,198.31,"N + P"
"A. lojaensis","C:N",0.515,0.4729,255.55,257.03,263.99,267.17,"N + P"
"Myrcia sp. nov.","LNC",0.758,0.384,137.9,139.14,147.25,150.36,"N + P"
"Myrcia sp. nov.","logNmass",0.847,0.3574,-72.48,-71.32,-63.12,-60.1,"N + P"
"Myrcia sp. nov.","N_area",0.347,0.5561,11.64,13.29,21,24.52,"N + P"
"Myrcia sp. nov.","LPC",12.029,5e-04,63.74,53.71,73.2,65.06,"N * P"
"Myrcia sp. nov.","logPmass",9.616,0.0019,51.7,44.09,61.16,55.44,"N * P"
"Myrcia sp. nov.","P_area",11.592,7e-04,-45.72,-55.32,-36.26,-43.96,"N * P"
"Myrcia sp. nov.","LCC",0.57,0.4504,354.06,355.49,363.52,366.84,"N + P"
"Myrcia sp. nov.","logCmass",0.584,0.4446,-249.58,-248.17,-240.12,-236.82,"N + P"
"Myrcia sp. nov.","C_area",2.002,0.1571,403.54,403.54,413,414.89,"N + P"
"Myrcia sp. nov.","N:P",5.442,0.0197,279.95,276.51,289.31,287.74,"N * P"
"Myrcia sp. nov.","C:N",1.238,0.2659,307.19,307.95,316.54,319.18,"N + P"
"H. purpurascens","LNC",0.975,0.3235,99.82,100.84,105.04,107.11,"N + P"
"H. purpurascens","logNmass",1.094,0.2957,-21.05,-20.14,-15.82,-13.87,"N + P"
"H. purpurascens","N_area",0.135,0.7132,24.55,26.41,29.77,32.68,"N + P"
"H. purpurascens","LPC",8.131,0.0044,3.04,-3.09,8.02,2.88,"N * P"
"H. purpurascens","logPmass",10.136,0.0015,-12.68,-20.81,-7.7,-14.84,"N * P"
