"species","variable","LRT_chisq","LRT_p","AIC_additive","AIC_interaction","BIC_additive","BIC_interaction","selected_model"
"P. torta","iWUE_Bernacchi (µmol/mol)",5.078,0.0242,257.5,254.42,264.83,263.21,"N * P"
"P. torta","d13C (‰ v.s.V-PDB)",5.08,0.0242,96.84,93.76,104.17,102.56,"N * P"
"C. racemosa","iWUE_Bernacchi (µmol/mol)",0.024,0.8765,94.56,96.54,96.98,99.45,"N + P"
"C. racemosa","d13C (‰ v.s.V-PDB)",0.023,0.8792,34.39,36.37,36.82,39.28,"N + P"
"A. lojaensis","iWUE_Bernacchi (µmol/mol)",0.008,0.93,348.65,350.64,357.34,361.07,"N + P"
"A. lojaensis","d13C (‰ v.s.V-PDB)",0.008,0.9287,138.94,140.93,147.63,151.36,"N + P"
"Myrcia sp. nov.","iWUE_Bernacchi (µmol/mol)",1.344,0.2464,386.01,386.67,395.47,398.02,"N + P"
"Myrcia sp. nov.","d13C (‰ v.s.V-PDB)",1.313,0.2519,141.25,141.94,150.71,153.29,"N + P"
"H. purpurascens","iWUE_Bernacchi (µmol/mol)",2.306,0.1289,193.77,193.47,199,199.74,"N + P"
"H. purpurascens","d13C (‰ v.s.V-PDB)",2.306,0.1288,88.76,88.45,93.98,94.72,"N + P"
"W. loxensis","iWUE_Bernacchi (µmol/mol)",0.129,0.7195,141.62,143.49,146.08,148.84,"N + P"
"W. loxensis","d13C (‰ v.s.V-PDB)",0.129,0.7193,51.51,53.38,55.96,58.72,"N + P"
