"variable","especie","Treatment","n_obs","pct","pct_low","pct_high","sig"
"log LNC (mg g-1)","P. torta","N",9,-0.492511186822708,-5.93728320495329,5.26742866123577,""
"log LNC (mg g-1)","P. torta","P",8,5.21500338787464,-0.358283001442627,11.1000218720714,"†"
"log LNC (mg g-1)","P. torta","N+P",6,4.69680772597347,-3.40078955119879,13.4732002164671,""
"log LNC (mg g-1)","C. racemosa","N",1,19.8651849974533,2.39066404171564,40.3219981913594,"*"
"log LNC (mg g-1)","C. racemosa","P",4,14.3457192796176,-3.0268999286487,34.8306232135795,"†"
"log LNC (mg g-1)","C. racemosa","N+P",4,37.0607079511822,12.3365084122383,67.2264692003967,"**"
"log LNC (mg g-1)","A. lojaensis","N",10,11.2045501490561,1.98923801469633,21.2525185458486,"*"
"log LNC (mg g-1)","A. lojaensis","P",12,-6.20456031255886,-13.9092266795844,2.18963271960932,""
"log LNC (mg g-1)","A. lojaensis","N+P",8,4.30479676474815,-7.95912503524715,18.202816219443,""
"log LNC (mg g-1)","Myrcia sp. nov.","N",10,17.0734240797267,10.2288475123071,24.3430094306414,"***"
"log LNC (mg g-1)","Myrcia sp. nov.","P",12,-4.62504986820125,-10.2804133379511,1.38679246157121,""
"log LNC (mg g-1)","Myrcia sp. nov.","N+P",12,11.6587198336286,2.78088994112953,21.3033835572542,"*"
"log LNC (mg g-1)","H. purpurascens","N",7,14.9825542837016,3.15640878555674,28.1644828978915,"*"
"log LNC (mg g-1)","H. purpurascens","P",6,4.66527572528335,-6.2172339869344,16.810586937939,""
"log LNC (mg g-1)","H. purpurascens","N+P",3,20.3468074770099,1.24247070769805,43.0561104314026,"*"
"log LNC (mg g-1)","W. loxensis","N",5,7.92093895419683,-6.99580785142275,25.230151412413,""
"log LNC (mg g-1)","W. loxensis","P",6,1.12989429772532,-12.6024523257414,17.0199369756613,""
"log LNC (mg g-1)","W. loxensis","N+P",2,9.14033148949192,-13.5813157520985,37.8360716933205,""
"log LPC (mg g-1)","P. torta","N",9,0.223083795440004,-13.8908412230662,16.6503850245309,""
"log LPC (mg g-1)","P. torta","P",8,14.4474748569308,-1.60196734877283,33.1146990260934,"†"
"log LPC (mg g-1)","P. torta","N+P",6,14.7027886276269,-8.03441077203032,43.0614410172526,""
"log LPC (mg g-1)","C. racemosa","N",1,4.18304774009521,-11.6358382766772,22.8338188778419,""
"log LPC (mg g-1)","C. racemosa","P",4,37.5800305461401,15.8129323384999,63.4382656830845,"**"
"log LPC (mg g-1)","C. racemosa","N+P",4,43.3350689047227,16.4291572796209,76.4587364364413,"**"
"log LPC (mg g-1)","A. lojaensis","N",10,2.86574811269331,-10.6885956669264,18.477166648533,""
"log LPC (mg g-1)","A. lojaensis","P",11,57.185713546944,36.5874537938223,80.8903223319286,"***"
"log LPC (mg g-1)","A. lojaensis","N+P",8,61.6902601663391,32.0964639141362,97.9140050989712,"***"
"log LPC (mg g-1)","Myrcia sp. nov.","N",10,2.70117917731345,-23.0018725632942,36.984269040581,""
"log LPC (mg g-1)","Myrcia sp. nov.","P",12,272.524046685695,183.45134487903,389.587253213814,"***"
"log LPC (mg g-1)","Myrcia sp. nov.","N+P",12,103.406531970989,54.7708277017406,167.325683159086,"***"
"log LPC (mg g-1)","H. purpurascens","N",7,-1.68029067743445,-13.6466665611516,11.944320575874,""
"log LPC (mg g-1)","H. purpurascens","P",5,82.6302353231143,58.3785406827457,110.59546773441,"***"
"log LPC (mg g-1)","H. purpurascens","N+P",3,27.7787128096091,8.47562774068407,50.516754660429,"**"
"log LPC (mg g-1)","W. loxensis","N",5,8.38899863052356,-16.5996286977348,40.8647808239261,""
"log LPC (mg g-1)","W. loxensis","P",6,183.78777280887,120.811652555685,264.724864216616,"***"
"log LPC (mg g-1)","W. loxensis","N+P",2,28.9960657439455,-8.79672458085864,82.4494230162701,""
