"especie","variable","LRT_chisq","LRT_p","AIC_aditivo","AIC_inter","BIC_aditivo","BIC_inter","modelo_sugerido"
"P. torta","iWUE (µmol/mol)",5.078,0.0242,257.5,254.42,264.83,263.21,"N * P"
"P. torta","iWUE_Bernacchi (µmol/mol)",5.078,0.0242,257.5,254.42,264.83,263.21,"N * P"
"P. torta","d13C (‰ v.s.V-PDB)",5.08,0.0242,96.84,93.76,104.17,102.56,"N * P"
"P. torta","Ci/Ca",5.078,0.0242,-99.17,-102.24,-91.84,-93.45,"N * P"
"P. torta","CiCa_Bernacchi",5.078,0.0242,-99.17,-102.24,-91.84,-93.45,"N * P"
"P. torta","d18O in ‰ vs DeltaSMOW",0.135,0.7134,118.27,120.14,125.6,128.93,"N + P"
"C. racemosa","iWUE (µmol/mol)",0.024,0.8765,94.56,96.54,96.98,99.45,"N + P"
"C. racemosa","iWUE_Bernacchi (µmol/mol)",0.024,0.8765,94.56,96.54,96.98,99.45,"N + P"
"C. racemosa","d13C (‰ v.s.V-PDB)",0.023,0.8792,34.39,36.37,36.82,39.28,"N + P"
"C. racemosa","Ci/Ca",0.024,0.8765,-39.19,-37.21,-36.76,-34.3,"N + P"
"C. racemosa","CiCa_Bernacchi",0.024,0.8765,-39.19,-37.21,-36.76,-34.3,"N + P"
"C. racemosa","d18O in ‰ vs DeltaSMOW",1.547,0.2136,59.73,60.19,62.16,63.1,"N + P"
"A. lojaensis","iWUE (µmol/mol)",0.008,0.93,348.65,350.64,357.34,361.07,"N + P"
"A. lojaensis","iWUE_Bernacchi (µmol/mol)",0.008,0.93,348.65,350.64,357.34,361.07,"N + P"
"A. lojaensis","d13C (‰ v.s.V-PDB)",0.008,0.9287,138.94,140.93,147.63,151.36,"N + P"
"A. lojaensis","Ci/Ca",0.008,0.9288,-119.14,-117.15,-110.46,-106.73,"N + P"
"A. lojaensis","CiCa_Bernacchi",0.008,0.9288,-119.14,-117.15,-110.46,-106.73,"N + P"
"A. lojaensis","d18O in ‰ vs DeltaSMOW",0.461,0.4974,138.84,140.38,147.41,150.66,"N + P"
"Myrcia sp. nov.","iWUE (µmol/mol)",1.344,0.2464,386.01,386.67,395.47,398.02,"N + P"
"Myrcia sp. nov.","iWUE_Bernacchi (µmol/mol)",1.344,0.2464,386.01,386.67,395.47,398.02,"N + P"
"Myrcia sp. nov.","d13C (‰ v.s.V-PDB)",1.313,0.2519,141.25,141.94,150.71,153.29,"N + P"
"Myrcia sp. nov.","Ci/Ca",1.368,0.2422,-159.93,-159.3,-150.47,-147.95,"N + P"
"Myrcia sp. nov.","CiCa_Bernacchi",1.369,0.242,-159.94,-159.31,-150.48,-147.96,"N + P"
"Myrcia sp. nov.","d18O in ‰ vs DeltaSMOW",1.319,0.2508,148.7,149.39,158.06,160.61,"N + P"
"H. purpurascens","iWUE (µmol/mol)",2.306,0.1289,193.77,193.47,199,199.74,"N + P"
"H. purpurascens","iWUE_Bernacchi (µmol/mol)",2.306,0.1289,193.77,193.47,199,199.74,"N + P"
"H. purpurascens","d13C (‰ v.s.V-PDB)",2.306,0.1288,88.76,88.45,93.98,94.72,"N + P"
"H. purpurascens","Ci/Ca",2.306,0.1289,-40.29,-40.59,-35.06,-34.32,"N + P"
"H. purpurascens","CiCa_Bernacchi",2.306,0.1289,-40.29,-40.59,-35.06,-34.32,"N + P"
"H. purpurascens","d18O in ‰ vs DeltaSMOW",2.226,0.1357,83.53,83.3,88.75,89.57,"N + P"
"W. loxensis","iWUE (µmol/mol)",0.129,0.7195,141.62,143.49,146.08,148.84,"N + P"
"W. loxensis","iWUE_Bernacchi (µmol/mol)",0.129,0.7195,141.62,143.49,146.08,148.84,"N + P"
"W. loxensis","d13C (‰ v.s.V-PDB)",0.129,0.7193,51.51,53.38,55.96,58.72,"N + P"
"W. loxensis","Ci/Ca",0.129,0.7195,-59,-57.13,-54.55,-51.79,"N + P"
"W. loxensis","CiCa_Bernacchi",0.129,0.7195,-59,-57.13,-54.55,-51.79,"N + P"
"W. loxensis","d18O in ‰ vs DeltaSMOW",0.158,0.6906,60.95,62.79,65.4,68.14,"N + P"
