"grupo","variable","n","df_especie","df_resid","F_valor","p_anova","p_shapiro","p_kruskal","letras"
"Physiological / nutrients","iWUE, Bernacchi (µmol mol-1)",49,5,43,37.52,1.26e-14,0.1,4.65e-06,"A. lojaensis:a  H. purpurascens:ab  W. loxensis:ab  Myrcia sp. nov.:b  C. racemosa:c  P. torta:c"
"Physiological / nutrients","d13C cellulose (per mil vs V-PDB)",49,5,43,33.51,8.67e-14,0.1,3.65e-06,"A. lojaensis:a  H. purpurascens:ab  W. loxensis:ab  Myrcia sp. nov.:b  C. racemosa:c  P. torta:c"
"Physiological / nutrients","N content, mass-based (mg g-1 DM)",48,5,42,39.12,9.36e-15,0.119,2.09e-07,"C. racemosa:a  P. torta:ab  H. purpurascens:b  A. lojaensis:c  W. loxensis:cd  Myrcia sp. nov.:d"
"Physiological / nutrients","N content, area-based (g m-2)",48,5,42,31.12,4.23e-13,0.385,9.04e-07,"A. lojaensis:a  Myrcia sp. nov.:b  H. purpurascens:bc  P. torta:cd  C. racemosa:bcd  W. loxensis:d"
"Physiological / nutrients","P content, mass-based (mg g-1 DM)",49,5,43,12.84,1.16e-07,1.08e-06,9.21e-06,"H. purpurascens:a  C. racemosa:ab  A. lojaensis:a  P. torta:ab  W. loxensis:bc  Myrcia sp. nov.:c"
"Physiological / nutrients","P content, area-based (g m-2)",49,5,43,17.13,2.68e-09,2.18e-09,3.77e-07,"A. lojaensis:a  H. purpurascens:b  Myrcia sp. nov.:b  C. racemosa:b  W. loxensis:b  P. torta:b"
"Physiological / nutrients","Leaf N:P ratio (mass-based)",48,5,42,10.65,1.19e-06,0.204,1.3e-05,"P. torta:a  Myrcia sp. nov.:ab  C. racemosa:abc  W. loxensis:bc  H. purpurascens:c  A. lojaensis:c"
"Morphological","SLA (cm² g-1)",49,5,43,72.58,7.6e-20,0.00797,4e-07,"C. racemosa:a  P. torta:ab  W. loxensis:b  H. purpurascens:b  Myrcia sp. nov.:c  A. lojaensis:c"
"Morphological","Leaf thickness (mm)",49,5,43,143.84,1.07e-25,0.263,2.54e-07,"A. lojaensis:a  Myrcia sp. nov.:b  H. purpurascens:b  W. loxensis:c  C. racemosa:cd  P. torta:d"
"Morphological","Punch force (kN m-1)",49,5,43,93.32,5.91e-22,0.00734,6.97e-08,"A. lojaensis:a  Myrcia sp. nov.:b  C. racemosa:c  H. purpurascens:c  W. loxensis:c  P. torta:c"
"Morphological","Individual leaf area (cm²)",49,5,43,43.3,1.03e-15,0.000176,3.64e-07,"P. torta:a  C. racemosa:b  A. lojaensis:b  Myrcia sp. nov.:b  H. purpurascens:bc  W. loxensis:c"
"Morphological","Leaf dry matter content (mg g-1)",49,5,43,41.71,2.01e-15,0.988,4.54e-06,"P. torta:a  Myrcia sp. nov.:a  C. racemosa:ab  W. loxensis:ab  A. lojaensis:b  H. purpurascens:c"
