"species","response","AICc_add","AICc_int","delta_AICc","Chisq","df","p_value","p_adj_FDR","singular_add","singular_int","best_model"
"Pouteria","logCmass",-191.128626091443,-189.149153584433,1.97947250701029,1.02907450153671,1,0.310376139788473,0.573002104224873,TRUE,TRUE,"additive"
"Pouteria","logNmass",-74.9811836150224,-73.1877051650959,1.79347844992652,1.10307327421141,1,0.293592637043416,0.573002104224873,FALSE,FALSE,"additive"
"Pouteria","logPmass",-6.22172362751012,-3.34619602101692,2.8755276064932,0.0210241176447319,1,0.884713274075975,0.884713274075975,FALSE,FALSE,"additive"
"Pouteria","N_area",11.5040744119708,12.4832944240674,0.979220012096553,1.91733171204138,1,0.166151109410715,0.513408445940454,TRUE,TRUE,"additive"
"Clarisia","logCmass",-29.4149942153262,-24.7155147477392,4.6994794675869,4.10052053241309,1,0.0428700129803505,0.342960103842804,TRUE,TRUE,"additive"
"Clarisia","logNmass",-1.19903077261203,7.50087564113884,8.69990641375087,0.100093586249123,1,0.751717355792327,0.820055297227993,TRUE,TRUE,"additive"
"Clarisia","logPmass",-0.139697788883232,6.22102070633116,6.3607184952144,2.4392815047856,1,0.118330414516689,0.513408445940454,TRUE,TRUE,"additive"
"Clarisia","N_area",10.9903307161377,18.6121040275964,7.62177331145867,1.17822668854133,1,0.277717302382865,0.573002104224873,TRUE,TRUE,"additive"
"Alchornea","logCmass",-217.099246418712,-215.653206074532,1.44604034417989,1.26567136753184,1,0.260580301835163,0.573002104224873,TRUE,TRUE,"additive"
"Alchornea","logNmass",-45.2212085231505,-42.8610385071035,2.36017001604704,0.311894761280904,1,0.576519804967076,0.707885466826639,TRUE,TRUE,"additive"
"Alchornea","logPmass",1.3694973882321,3.72587061586142,2.35637322762931,0.334949674219903,1,0.562758973991929,0.707885466826639,FALSE,FALSE,"additive"
"Alchornea","N_area",80.2370573059642,82.880953421568,2.64389611560377,0.0281686617241661,1,0.866712912412154,0.884713274075975,TRUE,TRUE,"additive"
"Myrcia","logCmass",-254.501711435912,-252.533444833799,1.96826660211303,0.621585406343627,1,0.430458748556375,0.687492378914504,FALSE,FALSE,"additive"
"Myrcia","logNmass",-72.3518669653408,-70.3038243954005,2.04804256994038,0.556608592850324,1,0.45562992855783,0.687492378914504,FALSE,FALSE,"additive"
"Myrcia","logPmass",54.3859453319519,46.4565548044581,-7.92939052749381,10.5192425359505,1,0.00118137897860649,0.0141765477432779,TRUE,TRUE,"interaction"
"Myrcia","N_area",12.1096239368099,14.3185361107312,2.2089121739213,0.395738988869395,1,0.529298066063445,0.707885466826639,FALSE,FALSE,"additive"
"Hedyosmum","logCmass",-99.2109883689436,-97.3176532369807,1.89333513196294,2.10666486803706,1,0.146658644196421,0.513408445940454,TRUE,FALSE,"additive"
"Hedyosmum","logNmass",-17.4710644366633,-15.2661266884381,2.20493774822522,1.79506225177478,1,0.180310592684115,0.513408445940454,FALSE,FALSE,"additive"
"Hedyosmum","logPmass",0.402560874209719,2.88022033403534,2.47765945982562,1.69816471599855,1,0.19252816722767,0.513408445940454,TRUE,TRUE,"additive"
"Hedyosmum","N_area",28.5170434660881,31.9670693062729,3.45002584018485,0.54997415981515,1,0.458328252609669,0.687492378914504,FALSE,FALSE,"additive"
"Weinmania","logCmass",-67.8099911526799,-66.1340550059665,1.67593614671341,2.96042748965021,1,0.0853253790835972,0.511952274501583,TRUE,FALSE,"additive"
"Weinmania","logNmass",-8.08810992801602,-3.55233648072035,4.53577344729567,0.100590189067962,1,0.751122530393436,0.820055297227993,TRUE,TRUE,"additive"
"Weinmania","logPmass",17.7892307477185,7.00963641484613,-10.7795943328724,15.415957969236,1,8.62567910099362e-05,0.00207016298423847,TRUE,TRUE,"interaction"
"Weinmania","N_area",8.69808995100345,13.0439602410064,4.3458702900029,0.290493346360729,1,0.589904555688866,0.707885466826639,TRUE,TRUE,"additive"
