"especie","variable","LRT_chisq","LRT_df","LRT_p","AIC_inter","AIC_aditivo","dAIC","BIC_inter","BIC_aditivo","dBIC","modelo_sugerido"
"Pouteria","Specific leaf area (cm²/g)",0.422,1,0.5158,255.4,253.83,-1.58,264.2,261.15,-3.04,"N + P (aditivo)"
"Pouteria","thickness (mm)",0.415,1,0.5196,-138.67,-140.25,-1.59,-129.87,-132.92,-3.05,"N + P (aditivo)"
"Pouteria","force to punch (kN/m)",0.202,1,0.6528,-25.61,-27.41,-1.8,-16.82,-20.08,-3.26,"N + P (aditivo)"
"Pouteria","LA",0.137,1,0.7116,288.73,286.87,-1.86,297.52,294.2,-3.33,"N + P (aditivo)"
"Pouteria","dry matter content (mg/g)",0.869,1,0.3512,328.92,327.79,-1.13,337.71,335.12,-2.6,"N + P (aditivo)"
"Clarisia","Specific leaf area (cm²/g)",2.614,1,0.1059,90.74,91.36,0.61,93.65,93.78,0.13,"N + P (aditivo)"
"Clarisia","thickness (mm)",9.268,1,0.0023,-72.96,-65.69,7.27,-70.05,-63.27,6.78,"N * P (con interacción)"
"Clarisia","force to punch (kN/m)",0.294,1,0.5874,-6.11,-7.82,-1.71,-3.2,-5.39,-2.19,"N + P (aditivo)"
"Clarisia","LA",0.779,1,0.3773,87.79,86.57,-1.22,90.7,88.99,-1.71,"N + P (aditivo)"
"Clarisia","dry matter content (mg/g)",0.306,1,0.5803,116.61,114.92,-1.69,119.52,117.34,-2.18,"N + P (aditivo)"
"al","Specific leaf area (cm²/g)",1.752,1,0.1856,243.38,243.13,-0.25,253.81,251.82,-1.99,"N + P (aditivo)"
"al","thickness (mm)",0.992,1,0.3192,-127.49,-128.5,-1.01,-117.06,-119.81,-2.75,"N + P (aditivo)"
"al","force to punch (kN/m)",0.77,1,0.3802,-34.86,-36.09,-1.23,-24.44,-27.4,-2.97,"N + P (aditivo)"
"al","LA",0.416,1,0.5191,307.31,305.73,-1.58,317.74,314.42,-3.32,"N + P (aditivo)"
"al","dry matter content (mg/g)",0.097,1,0.7558,407.07,405.16,-1.9,417.49,413.85,-3.64,"N + P (aditivo)"
"myrcia","Specific leaf area (cm²/g)",2.033,1,0.1539,264.3,264.34,0.03,275.65,273.8,-1.86,"N + P (aditivo)"
"myrcia","thickness (mm)",1.262,1,0.2612,-209.62,-210.36,-0.74,-198.27,-200.9,-2.63,"N + P (aditivo)"
"myrcia","force to punch (kN/m)",0.904,1,0.3416,-85.47,-86.57,-1.1,-74.12,-77.11,-2.99,"N + P (aditivo)"
"myrcia","LA",0.528,1,0.4673,304.84,303.37,-1.47,316.2,312.83,-3.36,"N + P (aditivo)"
"myrcia","dry matter content (mg/g)",1.505,1,0.22,463.87,463.38,-0.5,475.22,472.84,-2.39,"N + P (aditivo)"
"hp","Specific leaf area (cm²/g)",0.204,1,0.6516,169.34,167.55,-1.8,175.61,172.77,-2.84,"N + P (aditivo)"
"hp","thickness (mm)",0.266,1,0.6063,-69.58,-71.31,-1.73,-63.31,-66.09,-2.78,"N + P (aditivo)"
"hp","force to punch (kN/m)",2.221,1,0.1361,-9.3,-9.08,0.22,-3.03,-3.85,-0.82,"N + P (aditivo)"
"hp","LA",0.979,1,0.3225,131.97,130.95,-1.02,138.24,136.18,-2.07,"N + P (aditivo)"
"hp","dry matter content (mg/g)",0.025,1,0.8739,206,204.02,-1.97,212.26,209.24,-3.02,"N + P (aditivo)"
"Weinmania","Specific leaf area (cm²/g)",0.001,1,0.9765,127.18,125.18,-2,132.52,129.63,-2.89,"N + P (aditivo)"
"Weinmania","thickness (mm)",0.051,1,0.8217,-63.84,-65.79,-1.95,-58.5,-61.34,-2.84,"N + P (aditivo)"
"Weinmania","force to punch (kN/m)",0.017,1,0.8948,-30.46,-32.44,-1.98,-25.12,-27.99,-2.87,"N + P (aditivo)"
"Weinmania","LA",0.149,1,0.6994,22.36,20.51,-1.85,27.7,24.96,-2.74,"N + P (aditivo)"
"Weinmania","dry matter content (mg/g)",0.627,1,0.4285,191.86,190.48,-1.37,197.2,194.94,-2.26,"N + P (aditivo)"
