"especie","variable","LRT_chisq","LRT_df","LRT_p","AIC_inter","AIC_aditivo","dAIC","BIC_inter","BIC_aditivo","dBIC","modelo_sugerido"
"Pouteria","LNC",1.072,1,0.3005,124.96,124.03,-0.93,134.46,131.95,-2.51,"N + P (aditivo)"
"Pouteria","LPC",0.137,1,0.7114,-30.94,-32.81,-1.86,-21.44,-24.89,-3.45,"N + P (aditivo)"
"Pouteria","LCC",1.034,1,0.3092,215.01,214.04,-0.97,223.99,221.53,-2.46,"N + P (aditivo)"
"Pouteria","logNmass",1.103,1,0.2936,-76.08,-76.98,-0.9,-66.58,-69.06,-2.48,"N + P (aditivo)"
"Pouteria","logPmass",0.021,1,0.8847,-6.24,-8.22,-1.98,3.26,-0.3,-3.56,"N + P (aditivo)"
"Pouteria","logCmass",1.029,1,0.3104,-192.38,-193.35,-0.97,-183.4,-185.87,-2.47,"N + P (aditivo)"
"Pouteria","N:P",0.203,1,0.6526,222.71,220.91,-1.8,232.21,228.83,-3.38,"N + P (aditivo)"
"Pouteria","C:N",0.064,1,0.8006,152.84,150.9,-1.94,161.82,158.39,-3.43,"N + P (aditivo)"
"Clarisia","LNC",0.291,1,0.5898,60.93,59.22,-1.71,63.84,61.65,-2.19,"N + P (aditivo)"
"Clarisia","LPC",1.538,1,0.2149,-7,-7.46,-0.46,-4.09,-5.03,-0.95,"N + P (aditivo)"
"Clarisia","LCC",4.151,1,0.0416,103.93,106.08,2.15,106.84,108.5,1.67,"N * P (con interacción)"
"Clarisia","logNmass",0.1,1,0.7517,-9.3,-11.2,-1.9,-6.39,-8.77,-2.38,"N + P (aditivo)"
"Clarisia","logPmass",2.439,1,0.1183,-10.58,-10.14,0.44,-7.67,-7.72,-0.05,"N + P (aditivo)"
"Clarisia","logCmass",4.101,1,0.0429,-41.52,-39.41,2.1,-38.61,-36.99,1.62,"N * P (con interacción)"
"Clarisia","N:P",2.166,1,0.1411,66.66,66.82,0.17,69.57,69.25,-0.32,"N + P (aditivo)"
"Clarisia","C:N",0.532,1,0.4656,64.43,62.96,-1.47,67.34,65.38,-1.95,"N + P (aditivo)"
"al","LNC",0.429,1,0.5123,175.09,173.52,-1.57,185.93,182.55,-3.38,"N + P (aditivo)"
"al","LPC",0.404,1,0.5249,2.93,1.34,-1.6,13.64,10.26,-3.38,"N + P (aditivo)"
"al","LCC",1.302,1,0.2539,314.11,313.41,-0.7,324.68,322.22,-2.46,"N + P (aditivo)"
"al","logNmass",0.312,1,0.5765,-45.07,-46.76,-1.69,-34.23,-37.73,-3.49,"N + P (aditivo)"
"al","logPmass",0.335,1,0.5628,1.46,-0.21,-1.67,12.16,8.71,-3.45,"N + P (aditivo)"
"al","logCmass",1.266,1,0.2606,-217.99,-218.72,-0.73,-207.42,-209.91,-2.5,"N + P (aditivo)"
"al","N:P",2.476,1,0.1156,198.02,198.5,0.48,208.73,207.42,-1.31,"N + P (aditivo)"
"al","C:N",0.539,1,0.463,273.4,271.93,-1.46,283.96,280.74,-3.22,"N + P (aditivo)"
"myrcia","LNC",0.47,1,0.493,142.68,141.15,-1.53,154.03,150.61,-3.42,"N + P (aditivo)"
"myrcia","LPC",12.971,1,3e-04,54.08,65.05,10.97,65.56,74.61,9.06,"N * P (con interacción)"
"myrcia","LCC",0.606,1,0.4362,361.49,360.1,-1.39,372.96,369.66,-3.31,"N + P (aditivo)"
"myrcia","logNmass",0.557,1,0.4556,-72.3,-73.75,-1.44,-60.95,-64.29,-3.34,"N + P (aditivo)"
"myrcia","logPmass",10.519,1,0.0012,44.5,53.02,8.52,55.98,62.58,6.61,"N * P (con interacción)"
"myrcia","logCmass",0.622,1,0.4305,-254.49,-255.87,-1.38,-243.01,-246.31,-3.29,"N + P (aditivo)"
"myrcia","N:P",5.798,1,0.016,281.08,284.88,3.8,292.44,294.34,1.91,"N * P (con interacción)"
"myrcia","C:N",0.908,1,0.3406,314.71,313.62,-1.09,326.06,323.08,-2.98,"N + P (aditivo)"
"hp","LNC",1.614,1,0.2039,99.78,99.4,-0.39,106.05,104.62,-1.43,"N + P (aditivo)"
"hp","LPC",2.132,1,0.1443,8.79,8.92,0.13,14.76,13.9,-0.86,"N + P (aditivo)"
"hp","LCC",2.104,1,0.1469,151.91,152.02,0.1,158.18,157.24,-0.94,"N + P (aditivo)"
"hp","logNmass",1.795,1,0.1803,-21.27,-21.47,-0.2,-15,-16.25,-1.25,"N + P (aditivo)"
"hp","logPmass",1.698,1,0.1925,-3.58,-3.88,-0.3,2.39,1.1,-1.3,"N + P (aditivo)"
"hp","logCmass",2.107,1,0.1467,-103.32,-103.21,0.11,-97.05,-97.99,-0.94,"N + P (aditivo)"
"hp","N:P",0.096,1,0.7569,110.83,108.93,-1.9,116.81,113.91,-2.9,"N + P (aditivo)"
"hp","C:N",2.522,1,0.1122,116.41,116.93,0.52,122.67,122.15,-0.52,"N + P (aditivo)"
"Weinmania","LNC",0.171,1,0.6796,74.65,72.82,-1.83,79.99,77.27,-2.72,"N + P (aditivo)"
