"especie","variable","LRT_chisq","LRT_df","LRT_p","AIC_inter","AIC_aditivo","dAIC","BIC_inter","BIC_aditivo","dBIC","modelo_sugerido"
"Pouteria","iWUE (µmol/mol)",3.848,1,0.0498,308.59,310.44,1.85,318.09,318.36,0.26,"N * P (con interacción)"
"Pouteria","d13C (‰ v.s.V-PDB)",1.467,1,0.2257,106.99,106.45,-0.53,116.49,114.37,-2.12,"N + P (aditivo)"
"Pouteria","Ci/Ca",3.848,1,0.0498,-92.65,-90.81,1.85,-83.15,-82.89,0.26,"N * P (con interacción)"
"Clarisia","iWUE (µmol/mol)",0.024,1,0.8765,96.54,94.56,-1.98,99.45,96.98,-2.46,"N + P (aditivo)"
"Clarisia","d13C (‰ v.s.V-PDB)",0.023,1,0.8792,36.37,34.39,-1.98,39.28,36.82,-2.46,"N + P (aditivo)"
"Clarisia","Ci/Ca",0.024,1,0.8765,-37.21,-39.19,-1.98,-34.3,-36.76,-2.46,"N + P (aditivo)"
"al","iWUE (µmol/mol)",0.23,1,0.6316,379.02,377.25,-1.77,389.86,386.29,-3.58,"N + P (aditivo)"
"al","d13C (‰ v.s.V-PDB)",0.231,1,0.6309,154.31,152.54,-1.77,165.15,161.58,-3.58,"N + P (aditivo)"
"al","Ci/Ca",0.232,1,0.6302,-122.17,-123.94,-1.77,-111.33,-114.9,-3.57,"N + P (aditivo)"
"myrcia","iWUE (µmol/mol)",0.856,1,0.3548,396.05,394.91,-1.14,407.52,404.47,-3.06,"N + P (aditivo)"
"myrcia","d13C (‰ v.s.V-PDB)",0.833,1,0.3613,146.31,145.14,-1.17,157.78,154.7,-3.08,"N + P (aditivo)"
"myrcia","Ci/Ca",0.872,1,0.3505,-161.02,-162.15,-1.13,-149.55,-152.59,-3.04,"N + P (aditivo)"
"hp","iWUE (µmol/mol)",1.96,1,0.1615,193.9,193.86,-0.04,200.17,199.08,-1.08,"N + P (aditivo)"
"hp","d13C (‰ v.s.V-PDB)",1.96,1,0.1615,88.88,88.84,-0.04,95.14,94.06,-1.08,"N + P (aditivo)"
"hp","Ci/Ca",1.96,1,0.1615,-40.16,-40.2,-0.04,-33.9,-34.98,-1.08,"N + P (aditivo)"
"Weinmania","iWUE (µmol/mol)",0.129,1,0.7195,143.49,141.62,-1.87,148.84,146.08,-2.76,"N + P (aditivo)"
"Weinmania","d13C (‰ v.s.V-PDB)",0.129,1,0.7193,53.38,51.51,-1.87,58.72,55.96,-2.76,"N + P (aditivo)"
"Weinmania","Ci/Ca",0.129,1,0.7195,-57.13,-59,-1.87,-51.79,-54.55,-2.76,"N + P (aditivo)"
