"especie","variable","LRT_chisq","LRT_df","LRT_p","AIC_inter","AIC_aditivo","dAIC","BIC_inter","BIC_aditivo","dBIC","modelo_sugerido"
"Pouteria","Specific leaf area (cm²/g)",0.013,1,0.9094,266.73,264.74,-1.99,275.89,272.37,-3.51,"N + P (aditivo)"
"Pouteria","thickness (mm)",0.003,1,0.9536,-152,-154,-2,-142.84,-146.36,-3.52,"N + P (aditivo)"
"Pouteria","force to punch (kN/m)",0.005,1,0.9447,-34.4,-36.4,-2,-25.24,-28.76,-3.52,"N + P (aditivo)"
"Pouteria","LA",0.763,1,0.3825,307.46,306.22,-1.24,316.61,313.85,-2.76,"N + P (aditivo)"
"Pouteria","dry matter content (mg/g)",1.269,1,0.2599,346.76,346.03,-0.73,355.92,353.66,-2.26,"N + P (aditivo)"
"Clarisia","Specific leaf area (cm²/g)",2.614,1,0.1059,90.74,91.36,0.61,93.65,93.78,0.13,"N + P (aditivo)"
"Clarisia","thickness (mm)",9.268,1,0.0023,-72.96,-65.69,7.27,-70.05,-63.27,6.78,"N * P (con interacción)"
"Clarisia","force to punch (kN/m)",0.294,1,0.5874,-6.11,-7.82,-1.71,-3.2,-5.39,-2.19,"N + P (aditivo)"
"Clarisia","LA",0.779,1,0.3773,87.79,86.57,-1.22,90.7,88.99,-1.71,"N + P (aditivo)"
"Clarisia","dry matter content (mg/g)",0.306,1,0.5803,116.61,114.92,-1.69,119.52,117.34,-2.18,"N + P (aditivo)"
"al","Specific leaf area (cm²/g)",1.44,1,0.2301,265.28,264.72,-0.56,276.12,273.76,-2.37,"N + P (aditivo)"
"al","thickness (mm)",0.86,1,0.3536,-131.75,-132.89,-1.14,-120.91,-123.86,-2.95,"N + P (aditivo)"
"al","force to punch (kN/m)",1.124,1,0.2891,-38.95,-39.82,-0.88,-28.11,-30.79,-2.68,"N + P (aditivo)"
"al","LA",0.665,1,0.415,327.18,325.85,-1.34,338.02,334.88,-3.14,"N + P (aditivo)"
"al","dry matter content (mg/g)",0.119,1,0.7301,432.52,430.64,-1.88,443.36,439.68,-3.69,"N + P (aditivo)"
"myrcia","Specific leaf area (cm²/g)",1.598,1,0.2061,269.99,269.58,-0.4,281.46,279.15,-2.31,"N + P (aditivo)"
"myrcia","thickness (mm)",1.597,1,0.2064,-214.28,-214.68,-0.4,-202.81,-205.12,-2.32,"N + P (aditivo)"
"myrcia","force to punch (kN/m)",1.032,1,0.3097,-88.46,-89.43,-0.97,-76.99,-79.87,-2.88,"N + P (aditivo)"
"myrcia","LA",0.62,1,0.4309,309.93,308.55,-1.38,321.4,318.11,-3.29,"N + P (aditivo)"
"myrcia","dry matter content (mg/g)",1.123,1,0.2893,473.68,472.8,-0.88,485.15,482.36,-2.79,"N + P (aditivo)"
"hp","Specific leaf area (cm²/g)",0.041,1,0.8398,169.68,167.72,-1.96,175.95,172.94,-3,"N + P (aditivo)"
"hp","thickness (mm)",0.248,1,0.6182,-69.68,-71.43,-1.75,-63.42,-66.21,-2.8,"N + P (aditivo)"
"hp","force to punch (kN/m)",1.607,1,0.2049,-10.18,-10.57,-0.39,-3.91,-5.35,-1.44,"N + P (aditivo)"
"hp","LA",0.566,1,0.4519,129.64,128.21,-1.43,135.91,133.43,-2.48,"N + P (aditivo)"
"hp","dry matter content (mg/g)",0.3,1,0.5841,204.14,202.44,-1.7,210.41,207.66,-2.74,"N + P (aditivo)"
"Weinmania","Specific leaf area (cm²/g)",0.001,1,0.9765,127.18,125.18,-2,132.52,129.63,-2.89,"N + P (aditivo)"
"Weinmania","thickness (mm)",0.051,1,0.8217,-63.84,-65.79,-1.95,-58.5,-61.34,-2.84,"N + P (aditivo)"
"Weinmania","force to punch (kN/m)",0.017,1,0.8948,-30.46,-32.44,-1.98,-25.12,-27.99,-2.87,"N + P (aditivo)"
"Weinmania","LA",0.149,1,0.6994,22.36,20.51,-1.85,27.7,24.96,-2.74,"N + P (aditivo)"
"Weinmania","dry matter content (mg/g)",0.627,1,0.4285,191.86,190.48,-1.37,197.2,194.94,-2.26,"N + P (aditivo)"
