"species","response","model","N_est","N_SE","P_est","P_SE","NP_est","NP_SE","R2_marginal","R2_conditional","AIC"
"Pouteria","logCmass","additive",0.00164357535331639,0.00406048692585434,-0.00124554535500012,0.00407549801928788,NA,NA,0.00823638860887076,0.00823638860887076,-164.298489249784
"Pouteria","logNmass","additive",-0.00423879171790735,0.0255773792297576,0.0571479691641078,0.0245169624207142,NA,NA,0.115412479584292,0.294648577135677,-59.8095450806932
"Pouteria","logPmass","additive",-0.0472319026507613,0.0666351602417174,0.169001779446986,0.064140979248426,NA,NA,0.15703364869009,0.301136725376726,3.35869317032904
"Pouteria","N_area","additive",0.0344872168181979,0.0837982493680334,0.145088851506579,0.0848556823564914,NA,NA,0.080880685697994,0.080880685697994,20.3633945482089
"Clarisia","logCmass","additive",0.00310203998193518,0.0214966956765386,0.0147748490595066,0.0224817824689096,NA,NA,0.0458222409192811,0.0458222409192811,-19.9947701949504
"Clarisia","logNmass","additive",0.181197466887002,0.0696556890409137,0.134056298533962,0.0728476633015253,NA,NA,0.545380580579474,0.545380580579474,1.16720238708521
"Clarisia","logPmass","additive",0.040979240461378,0.0727990751855905,0.31903560213432,0.0761350952205403,NA,NA,0.646934574901099,0.646934574901099,1.96170212488181
"Clarisia","N_area","additive",0.071085393199262,0.115752517169717,0.234718410472839,0.121056880108252,NA,NA,0.312112171722328,0.312112171722328,10.3092235036475
"Alchornea","logCmass","additive",0.000864104740477632,0.00551855131880194,-0.00140962475434574,0.00539778065403387,NA,NA,0.00248086781105367,0.00248086781105367,-191.420573391278
"Alchornea","logNmass","additive",0.103475684763348,0.0408065006838104,-0.0607091040837287,0.0399919177125117,NA,NA,0.180446142464479,0.180446142464479,-31.4838372225003
"Alchornea","logPmass","additive",0.0195896823985579,0.0654172891189783,0.460988503101339,0.0645395092526835,NA,NA,0.495134112376652,0.591335249308733,11.0555246083858
"Alchornea","N_area","additive",0.347682079232175,0.163231937981131,-0.110822419339007,0.160131297618833,NA,NA,0.107345685546974,0.127495839176714,85.5424026536077
"Myrcia","logCmass","additive",-0.0068022912021846,0.00488874378218776,-0.00950229372042241,0.00493057657297902,NA,NA,0.110174859134969,0.173840505107866,-228.512941857143
"Myrcia","logNmass","additive",0.152712676803402,0.0297003559982555,-0.0522797136155646,0.030179802322462,NA,NA,0.346192534411465,0.410508249255089,-57.4180381028251
"Myrcia","logPmass","interaction",0.0266534126459727,0.142545105572462,1.31513140460887,0.135230160875442,-0.655208376681155,0.199641453924845,0.707024835570382,0.707024835570382,55.798866430318
"Myrcia","N_area","additive",0.354036338992935,0.0701478306819612,-0.0764120961715396,0.0713506384786219,NA,NA,0.32568818470912,0.399015926068635,21.8228881105801
"Hedyosmum","logCmass","additive",0.00166702590062176,0.00795061045813635,0.0054637123006929,0.0078959840493853,NA,NA,0.0229923407250512,0.0505723475130695,-78.024117767879
"Hedyosmum","logNmass","additive",0.145609482954666,0.0501510448374861,0.0392337330926493,0.050434983173743,NA,NA,0.216440411178825,0.49867148019622,-8.6021224708402
"Hedyosmum","logPmass","additive",-0.125396023691393,0.0853126848696519,0.406035107974552,0.0853126848696519,NA,NA,0.60489714186885,0.60489714186885,7.11060969760093
"Hedyosmum","N_area","additive",0.600665263412158,0.164394055064718,-0.115641384131615,0.163610679388455,NA,NA,0.432958948501478,0.467017708068238,31.3649279337449
"Weinmania","logCmass","additive",0.0180232158112192,0.0131710728615308,0.00673530971197861,0.0129772364073718,NA,NA,0.0984805749825562,0.125919167239959,-50.5258521726795
"Weinmania","logNmass","additive",0.0762287263386903,0.0697902249821136,0.0112355867135885,0.0684691548924733,NA,NA,0.0662920069793708,0.0662920069793708,-0.736947258976933
"Weinmania","logPmass","interaction",0.0805564092188265,0.122191094929026,1.04305649397909,0.116989066611478,-0.869001183398367,0.19953722245873,0.857982401956281,0.857982401956281,11.4013966316308
"Weinmania","N_area","additive",0.139307871398182,0.111249706929124,-0.0389695650030391,0.109143843818022,NA,NA,0.107936539183072,0.107936539183072,13.251552640206
