"especie","variable","LRT_chisq","LRT_df","LRT_p","AIC_inter","AIC_aditivo","dAIC","BIC_inter","BIC_aditivo","dBIC","modelo_sugerido"
"Pouteria","LNC",0.558,1,0.455,114.72,113.28,-1.44,123.51,120.61,-2.91,"N + P (aditivo)"
"Pouteria","LPC",0.943,1,0.3316,-23.68,-24.73,-1.06,-14.88,-17.41,-2.52,"N + P (aditivo)"
"Pouteria","LCC",0.273,1,0.6011,194.67,192.94,-1.73,202.87,199.78,-3.09,"N + P (aditivo)"
"Pouteria","logNmass",0.583,1,0.445,-63.93,-65.35,-1.42,-55.14,-58.02,-2.88,"N + P (aditivo)"
"Pouteria","logPmass",0.644,1,0.4221,-1.38,-2.73,-1.36,7.42,4.6,-2.82,"N + P (aditivo)"
"Pouteria","logCmass",0.28,1,0.5968,-163.37,-165.09,-1.72,-155.16,-158.25,-3.09,"N + P (aditivo)"
"Pouteria","N:P",0.183,1,0.6684,202.35,200.53,-1.82,211.14,207.86,-3.28,"N + P (aditivo)"
"Pouteria","C:N",0,1,0.9835,136.86,134.87,-2,145.07,141.7,-3.37,"N + P (aditivo)"
"Clarisia","LNC",0.291,1,0.5898,60.93,59.22,-1.71,63.84,61.65,-2.19,"N + P (aditivo)"
"Clarisia","LPC",1.538,1,0.2149,-7,-7.46,-0.46,-4.09,-5.03,-0.95,"N + P (aditivo)"
"Clarisia","LCC",4.151,1,0.0416,103.93,106.08,2.15,106.84,108.5,1.67,"N * P (con interacción)"
"Clarisia","logNmass",0.1,1,0.7517,-9.3,-11.2,-1.9,-6.39,-8.77,-2.38,"N + P (aditivo)"
"Clarisia","logPmass",2.439,1,0.1183,-10.58,-10.14,0.44,-7.67,-7.72,-0.05,"N + P (aditivo)"
"Clarisia","logCmass",4.101,1,0.0429,-41.52,-39.41,2.1,-38.61,-36.99,1.62,"N * P (con interacción)"
"Clarisia","N:P",2.166,1,0.1411,66.66,66.82,0.17,69.57,69.25,-0.32,"N + P (aditivo)"
"Clarisia","C:N",0.532,1,0.4656,64.43,62.96,-1.47,67.34,65.38,-1.95,"N + P (aditivo)"
"al","LNC",0.354,1,0.5519,166.42,164.77,-1.65,176.84,173.46,-3.38,"N + P (aditivo)"
